CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,CustomerValueScore,EngagementScore,HighRiskCategory,HighRiskPayment,LowSatisfaction,OrderFrequency,CashbackEfficiency,IsLoyalCustomer,HighValueCustomer,ServiceQualityScore,LogisticsConvenience,PreferredLoginDevice_encoded,PreferredPaymentMode_encoded,Gender_encoded,PreferedOrderCat_encoded,MaritalStatus_encoded,Gender_Category_Interaction,Gender_Category_Interaction_encoded,CustomerSegment
50001,1,4.0,Mobile Phone,3,6.0,Debit Card,Female,3.0,3,Laptop & Accessory,2,Single,9,1,11.0,1.0,1.0,5.0,160,0.66,4.6000000000000005,0,0,1,0.25,160.0,0,0,1.2,1,1,4,0,2,2,0_2,2,4
50002,1,9.0,Phone,1,8.0,UPI,Male,3.0,4,Mobile,3,Single,7,1,15.0,0.0,1.0,0.0,121,0.7210000000000001,5.300000000000001,1,0,0,0.1111111111111111,121.0,0,0,1.7999999999999998,1,2,6,1,3,2,1_3,9,4
50003,1,9.0,Phone,1,30.0,Debit Card,Male,2.0,4,Mobile,3,Single,6,1,14.0,0.0,1.0,3.0,120,0.52,4.6000000000000005,1,0,0,0.1111111111111111,120.0,0,0,1.7999999999999998,0,2,4,1,3,2,1_3,9,2
50004,1,0.0,Phone,3,15.0,Debit Card,Male,2.0,4,Laptop & Accessory,5,Single,8,0,23.0,0.0,1.0,3.0,134,0.7340000000000001,4.6000000000000005,0,0,0,0.0,134.0,0,0,3.8,1,2,4,1,2,2,1_2,8,2
50005,1,0.0,Phone,1,12.0,CC,Male,3.0,3,Mobile,5,Single,3,0,11.0,1.0,1.0,3.0,130,0.93,4.800000000000001,1,0,0,0.0,130.0,0,0,3.8,1,2,0,1,3,2,1_3,9,2
50006,1,0.0,Computer,1,22.0,Debit Card,Female,3.0,5,Mobile Phone,5,Single,2,1,22.0,4.0,6.0,7.0,139,2.4389999999999996,6.300000000000001,1,0,0,0.0,23.166666666666668,0,1,3.0,0,0,4,0,4,2,0_4,4,1
50007,1,9.0,Phone,3,11.0,Cash on Delivery,Male,2.0,3,Laptop & Accessory,2,Divorced,4,0,14.0,0.0,1.0,0.0,121,0.42099999999999993,4.7,0,1,1,0.1111111111111111,121.0,0,0,2.0,1,2,2,1,2,0,1_2,8,2
50008,1,9.0,Phone,1,6.0,CC,Male,3.0,3,Mobile,2,Divorced,3,1,16.0,2.0,2.0,0.0,123,0.9229999999999999,5.4,1,0,1,0.2222222222222222,61.5,0,0,1.2,1,2,0,1,3,0,1_3,9,4
50009,1,13.0,Phone,3,9.0,E wallet,Male,3.0,4,Mobile,3,Divorced,2,1,14.0,0.0,1.0,2.0,127,0.7270000000000001,5.1000000000000005,1,0,0,0.07692307692307693,127.0,0,0,1.7999999999999998,1,2,5,1,3,0,1_3,9,2
50010,1,9.0,Phone,1,31.0,Debit Card,Male,2.0,5,Mobile,3,Single,2,0,12.0,1.0,1.0,1.0,123,0.5229999999999999,5.0,1,0,0,0.1111111111111111,123.0,0,0,2.5999999999999996,0,2,4,1,3,2,1_3,9,2
